Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),Сума (вартість) на кінець звітного періоду грн,Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Квартал,Рік
оренда приміщення ,01.08.2022,564.44,Управління культури та туризму Дунаєвецької міської ради,42732053,"Хмельницька обл., Камянець Подільський р-н, м. Дунаївці вул. Шевченка буд. 50",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
оренда приміщення ,01.09.2022,1188.8,"Відділ культури, національностей, релігій та туризму Городоцької міської ради",41945568,"Хмельницька обл., Хмельницький р-н, м. Городок вул. Грушевського буд. 51",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
Банківські послуги,26.09.2022,20.93,"Акціонерне товариство ""Райффайзен Банк""",14305909,м. Київ вул. Генерала Алмазова буд. 4А,0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
податки із зарплати,01.09.2022,48.75,Головне управління ДПС у Хмельницькій області,43142957,"Хмельницька обл., м. Хмельницький вул. Пилипчука буд. 17",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
податки із зарплати,01.09.2022,585.0,Головне управління ДПС у Хмельницькій області,43142957,"Хмельницька обл., м. Хмельницький вул. Пилипчука буд. 17",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
податки по зарплаті,01.09.2022,715.0,Головне управління ДПС у Хмельницькій області,43142957,"Хмельницька обл., м. Хмельницький вул. Пилипчука буд. 17",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
Заробітна плата ,01.09.2022,2616.25,"Акціонерне товариство ""Райффайзен Банк""",14305909,м. Київ вул. Генерала Алмазова буд. 4А,0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
оренда приміщення ,01.09.2022,248.0,Білогірська селищна рада,04403143,"Хмельницька обл., Шепетівський р-н, смт Білогіря вул. Шевченка буд. 44",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
Банківські послуги,29.09.2022,45.0,"Акціонерне товариство ""Райффайзен Банк""",14305909,м. Київ вул. Генерала Алмазова буд. 4А,0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
Банківські послуги,29.09.2022,150.0,"Акціонерне товариство ""Райффайзен Банк""",14305909,м. Київ вул. Генерала Алмазова буд. 4А,0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
 телекомунікаційні послуги ,01.10.2022,600.0,"Приватне акціонерне товариство ""КИЇВСТАР""",21673832,м. Київ вул. Дегтярівська буд. 53,0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
оренда приміщення ,01.09.2022,575.16,Управління культури та туризму Дунаєвецької міської ради,42732053,"Хмельницька обл., Камянець Подільський р-н, м. Дунаївці вул. Шевченка буд. 50",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
оренда приміщення ,01.10.2022,1199.92,"Відділ культури, національностей, релігій та туризму Городоцької міської ради",41945568,"Хмельницька обл., Хмельницький р-н, м. Городок вул. Грушевського буд. 51",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
оренда приміщення ,01.10.2022,248.0,Білогірська селищна рада,04403143,"Хмельницька обл., Шепетівський р-н, смт Білогіря вул. Шевченка буд. 44",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
оренда приміщення ,01.10.2022,2817.5,"Товариство з обмеженою відповідальністю ""КАМПУС СООР""",44748636,"Хмельницька обл., м. Хмельницький вул. Чекірди Гната буд. 10",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
Банківські послуги,27.10.2022,21.57,"Акціонерне товариство ""Райффайзен Банк""",14305909,м. Київ вул. Генерала Алмазова буд. 4А,0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
податки із зарплати,01.10.2022,50.25,Головне управління ДПС у Хмельницькій області,43142957,"Хмельницька обл., м. Хмельницький вул. Пилипчука буд. 17",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
податки із зарплати,01.10.2022,603.0,Головне управління ДПС у Хмельницькій області,43142957,"Хмельницька обл., м. Хмельницький вул. Пилипчука буд. 17",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
податки по зарплаті,01.10.2022,737.0,Головне управління ДПС у Хмельницькій області,43142957,"Хмельницька обл., м. Хмельницький вул. Пилипчука буд. 17",0.0,Юридична особа,ЗА КОНКРЕТНІ СПРАВИ,Центральний офіс,39933113,Хмельницька область,4,2022
