Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,Примітки
"ПАТ ""МІБ""",поточний рахунок,26004010318212,"152231,28",Блок Петра Порошенка “Солідарність”,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26422302552328,0,Блок Петра Порошенка “Солідарність”,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,накопичувальний
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26421303552328,0,Блок Петра Порошенка “Солідарність”,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26423301552328,0,Блок Петра Порошенка “Солідарність”,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,накопичувальний
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26424300552328,0,Блок Петра Порошенка “Солідарність”,Львівська обласна організація,39702118,Львівська область,2016-12-31,5,2016,
"АТ ""Укрексімбанк""",поточний рахунок,26001001018134,"3286,73",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,26029188,Миколаївська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001053219711,"4221,02",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,26029188,Миколаївська область,2016-12-31,5,2016,
"ПАТ ""Банк Восток""",поточний рахунок,26003010325274,"746,96",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,39607381,Одеська область,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26000279199,0,Блок Петра Порошенка “Солідарність”,Полтавська обласна організація,26090791,Полтавська область,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26000212002144,0,Блок Петра Порошенка “Солідарність”,Полтавська міська організація,39962153,Полтавська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009054713048,"5756,22",Блок Петра Порошенка “Солідарність”,Рівненська обласна організація,39757256,Рівненська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009055016910,"407,85",Блок Петра Порошенка “Солідарність”,Сумська обласна організація,39587135,Сумська область,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26009055114295,"46733,39",Блок Петра Порошенка “Солідарність”,Тернопільська обласна організація,39614425,Тернопільська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26427300639894,0,Блок Петра Порошенка “Солідарність”,Тернопільська обласна організація,39614425,Тернопільська область,2016-12-31,5,2016,
"ПАТ ""Мегабанк""",поточний рахунок,2600912063,"147180,75",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,39740347,Харківська область,2016-12-31,5,2016,
"ПАТ ""Мегабанк""",поточний рахунок,2600420063,"3114,42",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,39740347,Харківська область,2016-12-31,5,2016,картковий
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26432052201013,0,Блок Петра Порошенка “Солідарність”,Харківська обласна організація,39740347,Харківська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26437052200075,0,Блок Петра Порошенка “Солідарність”,Харківська обласна організація,39740347,Харківська область,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26001266059,"66389,39",Блок Петра Порошенка “Солідарність”,Херсонська обласна організація,39438699,Херсонська область,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26001011576381,0,Блок Петра Порошенка “Солідарність”,Хмельницька обласна організація,39545645,Хмельницька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",поточний рахунок,26002001135423,0,Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,39602603,Черкаська область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26424311135423,0,Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,39602603,Черкаська область,2016-12-31,5,2016,
"АБ ""Укргазбанк""",поточний рахунок,26001266565,"5896,77",Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,39692702,Чернівецька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26425300486048,0,Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,39692702,Чернівецька область,2016-12-31,5,2016,
"АТ ""Ощадбанк""",рахунок виборчого фонду політичної партії,26420300486861,0,Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,39692702,Чернівецька область,2016-12-31,5,2016,
"ПАТ ""Укрсоцбанк""",поточний рахунок,26006011627020,"8981,44",Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,39742680,Чернігівська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422051400282,0,Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,39742680,Чернігівська область,2016-12-31,5,2016,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду політичної партії,26422051400505,0,Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,39742680,Чернігівська область,2016-12-31,5,2016,
