Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік,
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26431053700040,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Фартушок Дмитра Ігоровича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26439053202981,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Рєпіна Олександра Володимировича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26438053200100,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Вишняк Сергія Володимировича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26436055000113,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Терещенко Мішеля Петровича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26437055000372,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Пащенко Інни Олексіївни
"АБ ""Укргазбанк""",рахунок виборчого фонду кандидата,26433055000611,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Шарай Ігора Станіславовича
"АБ ""Укргазбанк""",рахунок виборчого фонду кандидата,26431924415546,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Пастуха Тараса Тимофійовича
"АБ ""Укргазбанк""",рахунок виборчого фонду кандидата,26439055100125,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Василіцького Романа Романовича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26438055100892,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Навольського Тараса Івановича
"АБ ""Укргазбанк""",рахунок виборчого фонду кандидата,26430052100343,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Баранникова Сергія Миколайовича
"АТ ""Ощадбанк""",рахунок виборчого фонду кандидата,26430500741715,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Іванова Андрія Павловича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26435052100832,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Любчич Анни Миколаївни
"АТ ""Райффайзен банк Аваль""",рахунок виборчого фонду кандидата,264361000007,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Канашевич Андрія Вікторовича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26432052100073,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Голікова Олексія Юрійовича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26435052200181,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Дмитрієва Сергія Миколайовича
"АБ ""Укргазбанк""",рахунок виборчого фонду кандидата,26437924415476,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Бердник Дініса Володимировича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26430052200562,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Яковлєва Олександра Юрійовича
"АТ ""БАНК АЛЬЯНС""",рахунок виборчого фонду кандидата,26434037663001,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Бордунос Людмили Іванівни
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26435051500357,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Кубай Інни Михайлівни
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26432051500598,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Чорней Михайла Васильовича
"АТ ""Ощадбанк""",рахунок виборчого фонду кандидата,26435500519523,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Майданського Руслана Івановича
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26437051500601,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Кучурки Ольги Миколаївни
"ПАТ КБ ""Приватбанк""",рахунок виборчого фонду кандидата,26438051401208,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,поточний рахунок кандидата Гензель Артема Ігоровича
"АТ ""Полтава-банк""",рахунок виборчого фонду кандидата,26426216327002,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,"поточний рахунок Зіньківської районної організації Політичної партії ""Об’єднання ""САМОПОМІЧ"""
"АТ ""Полтава-банк""",рахунок виборчого фонду кандидата,26427216327001,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,"накопичувальний рахунок Зіньківської районної організації Політичної партії ""Об’єднання ""САМОПОМІЧ"""
"АБ ""Укргазбанк""",рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26008924418040,0,"Обʼєднання ""Самопоміч""",Центральний офіс,38558365,Україна,2019-12-31,4,2019,
невідомо,поточний рахунок,26008054625201,0,"Обʼєднання ""Самопоміч""",Андрушівська районна організація,39932916,Житомирська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003055805103,0,"Обʼєднання ""Самопоміч""",Баранівська районна організація,39915995,Житомирська область,2019-12-31,4,2019,
"АТ ""Ощадбанк""",поточний рахунок,26000171311565,"356,89","Обʼєднання ""Самопоміч""",Барська районна організація,39919455,Вінницька область,2019-12-31,4,2019,
"АТ ""Ощадбанк""",поточний рахунок,26008301906419,0,"Обʼєднання ""Самопоміч""",Бердичівська міська організація,40012509,Житомирська область,2019-12-31,4,2019,
невідомо,поточний рахунок,26008055815853,0,"Обʼєднання ""Самопоміч""",Бердичівська районна організація,39915010,Житомирська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055325259,"9229,58","Обʼєднання ""Самопоміч""",Вінницька міська організація,39916686,Вінницька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26009924419253,0,"Обʼєднання ""Самопоміч""",Вінницька міська організація,39916686,Вінницька область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007055327455,0,"Обʼєднання ""Самопоміч""",Вінницька обласна організація,39983473,Вінницька область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002055509934,"13125,41","Обʼєднання ""Самопоміч""",Волинська обласна організація,39923587,Волинська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26000924419122,0,"Обʼєднання ""Самопоміч""",Волинська обласна організація,39923587,Волинська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26108055501955,"53633,07","Обʼєднання ""Самопоміч""",Волинська обласна організація,39923587,Волинська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26003288682,"735,5","Обʼєднання ""Самопоміч""",Гайсинська районна організація,39927487,Вінницька область,2019-12-31,4,2019,
невідомо,поточний рахунок,26004055019365,0,"Обʼєднання ""Самопоміч""",Глухівська міська організація,39957768,Сумська область,2019-12-31,4,2019,
невідомо,поточний рахунок,26008054625201,0,"Обʼєднання ""Самопоміч""",Горішньоплавнівська міська організація,39957113,Полтавська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26003924419196,"2652,29","Обʼєднання ""Самопоміч""",Дніпровська міська організація,39959985,Дніпропетровська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26001924419381,"6737,35","Обʼєднання ""Самопоміч""",Дніпропетровська обласна організація,39957684,Дніпропетровська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004053619026,0,"Обʼєднання ""Самопоміч""",Донецька обласна організація,42479452,Донецька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26006924419115,0,"Обʼєднання ""Самопоміч""",Житомирська міська організація,39847464,Житомирська область,2019-12-31,4,2019,
"АТ ""Ощадбанк""",поточний рахунок,26001300961388,0,"Обʼєднання ""Самопоміч""",Житомирська міська організація,39847464,Житомирська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26009924419048,0,"Обʼєднання ""Самопоміч""",Житомирська обласна організація,39964204,Житомирська область,2019-12-31,4,2019,
"АТ ""Ощадбанк""",поточний рахунок,26007300964334,"567,95","Обʼєднання ""Самопоміч""",Житомирська обласна організація,39964204,Житомирська область,2019-12-31,4,2019,
невідомо,поточний рахунок,2111259,0,"Обʼєднання ""Самопоміч""",Житомирська районна організація,39931252,Житомирська область,2019-12-31,4,2019,
невідомо,поточний рахунок,2111260,0,"Обʼєднання ""Самопоміч""",Жмеринська міська організація,39956958,Вінницька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26006924419290,0,"Обʼєднання ""Самопоміч""",Закарпатська обласна організація,39966276,Закарпатська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26008924419362,0,"Обʼєднання ""Самопоміч""",Запорізька міська організація,39924890,Запорізька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26000924419371,0,"Обʼєднання ""Самопоміч""",Запорізька обласна організація,39961879,Запорізька область,2019-12-31,4,2019,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26001495247,0,"Обʼєднання ""Самопоміч""",Здолбунівська районна організація,39959524,Рівненська область,2019-12-31,4,2019,
невідомо,поточний рахунок,2600401064845,0,"Обʼєднання ""Самопоміч""",Золочівська районна організація,39960849,Львівська область,2019-12-31,4,2019,
"АТ ""Райффайзен банк Аваль""",поточний рахунок,26000492575,0,"Обʼєднання ""Самопоміч""",Івано-Франківська обласна організація,39927768,Івано-Франківська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26000924418985,0,"Обʼєднання ""Самопоміч""",Івано-Франківська обласна організація,39927768,Івано-Франківська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050255435,0,"Обʼєднання ""Самопоміч""",Кам’янська міська організація,39942966,Дніпропетровська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26004052203832,0,"Обʼєднання ""Самопоміч""",Каховська міська організація,39921904,Херсонська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26004924419292,0,"Обʼєднання ""Самопоміч""",Київська міська організація,39842314,Київ,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005056218695,"319,93","Обʼєднання ""Самопоміч""",Київська міська організація,39842314,Київ,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26048056202828,0,"Обʼєднання ""Самопоміч""",Київська міська організація,39842314,Київ,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26007924419329,"54,39","Обʼєднання ""Самопоміч""",Київська обласна організація,39922721,Київська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26007924420170,"269,84","Обʼєднання ""Самопоміч""",Кіровоградська обласна організація,39934913,Кіровоградаська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055322365,0,"Обʼєднання ""Самопоміч""",Козятинська міська організація,39921836,Вінницька область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003052516971,0,"Обʼєднання ""Самопоміч""",Коломийська міська організація,39934583,Івано-Франківська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000055021669,0,"Обʼєднання ""Самопоміч""",Конотопська міська організація,39922934,Сумська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26002055017701,0,"Обʼєднання ""Самопоміч""",Конотопська районна організація,39959000,Сумська область,2019-12-31,4,2019,
невідомо,поточний рахунок,2600401554845,0,"Обʼєднання ""Самопоміч""",Костопільська районна організація,39925596,Рівненська область,2019-12-31,4,2019,
невідомо,поточний рахунок,2600404845,0,"Обʼєднання ""Самопоміч""",Краматорська міська організація,39992303,Донецька область,2019-12-31,4,2019,
невідомо,поточний рахунок,260040447845,0,"Обʼєднання ""Самопоміч""",Кременчуцька міська організація,39953260,Полтавська область,2019-12-31,4,2019,
невідомо,поточний рахунок,2600720237,0,"Обʼєднання ""Самопоміч""",Криворізька міська організація,40300153,Дніпропетровська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111121,0,"Обʼєднання ""Самопоміч""",Лиманська районна організація,39976356,Одеська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111122,0,"Обʼєднання ""Самопоміч""",Лисичанська міська організація,39929840,Луганська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111127,0,"Обʼєднання ""Самопоміч""",Луганська обласна організація,42491270,Луганська область,2019-12-31,4,2019,
"АТ ""Укрсиббанк""",поточний рахунок,29033000003100,"1828,69","Обʼєднання ""Самопоміч""",Львівська міська організація,39378876,Львівська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26002924856783,"33347,43","Обʼєднання ""Самопоміч""",Львівська обласна організація,38582948,Львівська область,2019-12-31,4,2019,
"АТ ""Ощадбанк""",поточний рахунок,26003300503147,"15,42","Обʼєднання ""Самопоміч""",Марганецька міська організація,39955179,Дніпропетровська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111123,0,"Обʼєднання ""Самопоміч""",Маріупольська міська організація,39955577,Донецька область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008055723683,1203,"Обʼєднання ""Самопоміч""",Мелітопольська міська організація,39964031,Запорізька область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26007053222865,0,"Обʼєднання ""Самопоміч""",Миколаївська міська організація,39925432,Миколаївська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26000924419520,0,"Обʼєднання ""Самопоміч""",Миколаївська міська організація,39925432,Миколаївська область,2019-12-31,4,2019,
"ПАТ ""Банк Восток""",поточний рахунок,26007010353673,0,"Обʼєднання ""Самопоміч""",Одеська міська організація,39923299,Одеська область,2019-12-31,4,2019,
"ПАТ ""Банк Восток""",поточний рахунок,29037010353673,0,"Обʼєднання ""Самопоміч""",Одеська міська організація,39923299,Одеська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009054334237,484,"Обʼєднання ""Самопоміч""",Одеська обласна організація,40565738,Одеська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26001924419217,0,"Обʼєднання ""Самопоміч""",Одеська обласна організація,40565738,Одеська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111115,0,"Обʼєднання ""Самопоміч""",Олевська районна організація,39963719,Житомирська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008050251729,0,"Обʼєднання ""Самопоміч""",Павлоградська міська організація,39953496,Дніпропетровська область,2019-12-31,4,2019,
невідомо,поточний рахунок,31117,0,"Обʼєднання ""Самопоміч""",Покровська міська організація,39965475,Донецька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26000924419218,0,"Обʼєднання ""Самопоміч""",Полтавська міська організація,39959676,Полтавська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26002924419216,0,"Обʼєднання ""Самопоміч""",Полтавська обласна організація,39995908,Полтавська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111116,0,"Обʼєднання ""Самопоміч""",Радомишльська районна організація,39942730,Житомирська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26005924419194,0,"Обʼєднання ""Самопоміч""",Рівненська міська організація,39930531,Рівненська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000054717805,0,"Обʼєднання ""Самопоміч""",Рівненська районна організація,39962689,Рівненська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26005053718053,0,"Обʼєднання ""Самопоміч""",Сєвєродонецька міська організація,39957375,Луганська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,29030053601760,"3234,61","Обʼєднання ""Самопоміч""",Слов’янська міська організація,39935110,Донецька область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26008053717028,0,"Обʼєднання ""Самопоміч""",Старобільська районна організація,39966070,Луганська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26003924419293,0,"Обʼєднання ""Самопоміч""",Сумська міська організація,39915822,Сумська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111117,0,"Обʼєднання ""Самопоміч""",Сумська обласна організація,40782474,Сумська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001055118006,"90,12","Обʼєднання ""Самопоміч""",Тернопільська обласна організація,39915272,Тернопільська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26007924419051,0,"Обʼєднання ""Самопоміч""",Тернопільська обласна організація,39915272,Тернопільська область,2019-12-31,4,2019,
невідомо,поточний рахунок,26009288727980,0,"Обʼєднання ""Самопоміч""",Тиврівська районна організація,39916648,Вінницька область,2019-12-31,4,2019,
невідомо,поточний рахунок,260098827980,0,"Обʼєднання ""Самопоміч""",Токмацька міська організація,39960152,Запорізька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26000924429297,0,"Обʼєднання ""Самопоміч""",Тростянецька районна організація,39919738,Вінницька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26000924419412,"13,97","Обʼєднання ""Самопоміч""",Харківська міська організація,39916469,Харківська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26001924419411,0,"Обʼєднання ""Самопоміч""",Харківська обласна організація,39916302,Харківська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26009052203116,"12792,64","Обʼєднання ""Самопоміч""",Херсонська міська організація,39871995,Херсонська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26001052202717,0,"Обʼєднання ""Самопоміч""",Херсонська обласна організація,39970140,Херсонська область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26005924419116,0,"Обʼєднання ""Самопоміч""",Хмельницька обласна організація,39935131,Хмельницька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26009924425195,0,"Обʼєднання ""Самопоміч""",Черкаська обласна організація,39219693,Черкаська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26003051502635,"724,85","Обʼєднання ""Самопоміч""",Чернівецька міська організація,39914787,Чернівецька область,2019-12-31,4,2019,
"АБ ""Укргазбанк""",поточний рахунок,26008924419704,0,"Обʼєднання ""Самопоміч""",Чернівецька міська організація,39914787,Чернівецька область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111119,0,"Обʼєднання ""Самопоміч""",Чернігівська обласна організація,39947849,Чернігівська область,2019-12-31,4,2019,
невідомо,поточний рахунок,3111112,0,"Обʼєднання ""Самопоміч""",Чорноморська міська організація,39901060,Одеська область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26006055326037,0,"Обʼєднання ""Самопоміч""",Шаргородська районна організація,39956717,Вінницька область,2019-12-31,4,2019,
"ПАТ КБ ""Приватбанк""",поточний рахунок,26000055024257,0,"Обʼєднання ""Самопоміч""",Шосткинська міська організація,39959461,Сумська область,2019-12-31,4,2019,
